county,confirmed_cases,confirmed_deaths,state,length_of_lockdown,cases,deaths,POP_ESTIMATE_2018,total_state_pop,Active.Physicians.per.100.000.Population..2018..AAMC.,Total.Active.Patient.Care.Physicians.per.100.000.Population..2018..AAMC.,Active.Primary.Care.Physicians.per.100.000.Population..2018..AAMC.,Active.Patient.Care.Primary.Care.Physicians.per.100.000.Population..2018..AAMC.,Active.General.Surgeons.per.100.000.Population..2018..AAMC.,Active.Patient.Care.General.Surgeons.per.100.000.Population..2018..AAMC.,Percentage.of.Active.Physicians.Who.Are.Female..2018..AAMC.,Percentage.of.Active.Physicians.Who.Are.International.Medical.Graduates..IMGs...2018..AAMC.,Percentage.of.Active.Physicians.Who.Are.Age.60.or.Older..2018..AAMC.,MD.and.DO.Student.Enrollment.per.100.000.Population..AY.2018.2019..AAMC.,Student.Enrollment.at.Public.MD.and.DO.Schools.per.100.000.Population..AY.2018.2019..AAMC.,Percentage.Change.in.Student.Enrollment.at.MD.and.DO.Schools..2008.2018..AAMC.,Percentage.of.MD.Students.Matriculating.In.State..AY.2018.2019..AAMC.,Total.Residents.Fellows.in.ACGME.Programs.per.100.000.Population.as.of.December.31..2018..AAMC.,Total.Residents.Fellows.in.Primary.Care.ACGME.Programs.per.100.000.Population.as.of.Dec..31..2018..AAMC.,Percentage.of.Residents.in.ACGME.Programs.Who.Are.IMGs.as.of.December.31..2018..AAMC.,Ratio.of.Residents.and.Fellows..GME..to.Medical.Students..UME...AY.2017.2018..AAMC.,Percent.Change.in.Residents.and.Fellows.in.ACGME.Accredited.Programs..2008.2018..AAMC.,Percentage.of.Physicians.Retained.in.State.from.Undergraduate.Medical.Education..UME...2018..AAMC.,All.Specialties..AAMC.,State.Local.Government.hospital.beds.per.1000.people..2019.,Non.profit.hospital.beds.per.1000.people..2019.,For.profit.hospital.beds.per.1000.people..2019.,Total.hospital.beds.per.1000.people..2019.,Total.nurse.practitioners..2019.,Total.physician.assistants..2019.,Total.Hospitals..2019.,Total.Primary.Care.Physicians..2019.,Surgery.specialists..2019.,Emergency.Medicine.specialists..2019.,Total.Specialist.Physicians..2019.,ICU.Beds,pop_fraction,Length.of.Life.rank,Quality.of.Life.rank,Health.Behaviors.rank,Clinical.Care.rank,Social...Economic.Factors.rank,Physical.Environment.rank,Adult.smoking.percentage,Adult.obesity.percentage,Excessive.drinking.percentage,Population.per.sq.mile,House.per.sq.mile,Share.of.Tests.with.Positive.COVID.19.Results,Number.of.Tests.with.Results.per.1.000.Population
Knox,79,0,Maine,42,0.477735033,0,39771,2676808,330.2,305.7,128.9,119.7,12.1,11.7,37.3,13.8,36,53,23.49639271,40.6,69.85761183,24.7,12.2,12.1,0.5,9.3,18.2,3.302440819,0.1,2.4,0.1,2.5,0.821874412,0.415420157,0.025403391,1.850711743,0.206215761,0.236849262,1.6766238,0.201151593,0.014857621,5,1,5,3,4,3,14,27,21,108.8,65,0.064176,17.6
Lincoln,942,7,Maine,42,0.436782948,0,34342,2676808,330.2,305.7,128.9,119.7,12.1,11.7,37.3,13.8,36,53,23.49639271,40.6,69.85761183,24.7,12.2,12.1,0.5,9.3,18.2,3.302440819,0.1,2.4,0.1,2.5,0.821874412,0.415420157,0.025403391,1.850711743,0.206215761,0.236849262,1.6766238,0.116475453,0.01282946,7,8,3,14,7,6,15,25,18,75.6,51.5,0.064176,17.6
Oxford,17,0,Maine,42,0.295046687,0,57618,2676808,330.2,305.7,128.9,119.7,12.1,11.7,37.3,13.8,36,53,23.49639271,40.6,69.85761183,24.7,12.2,12.1,0.5,9.3,18.2,3.302440817,0.1,2.4,0.1,2.5,0.821874412,0.415420157,0.025403391,1.850711743,0.206215761,0.236849262,1.6766238,0.104134125,0.021524891,11,7,14,10,13,16,18,33,19,27.8,17.4,0.064176,17.6
Penobscot,90,0,Maine,42,0.5956478,0,151096,2676808,330.2,305.7,128.9,119.7,12.1,11.7,37.3,13.8,36,53,23.49639271,40.6,69.85761183,24.7,12.2,12.1,0.5,9.3,18.2,3.302440818,0.1,2.4,0.1,2.5,0.821874412,0.415420157,0.025403391,1.850711744,0.206215761,0.236849262,1.676623799,0.337533753,0.056446335,12,13,10,8,8,9,17,34,20,45.3,21.7,0.064176,17.6
Piscataquis,1,0,Maine,42,0.05952381,0,16800,2676808,330.2,305.7,128.9,119.7,12.1,11.7,37.3,13.8,36,53,23.49639271,40.6,69.85761183,24.7,12.2,12.1,0.5,9.3,18.2,3.302440818,0.1,2.4,0.1,2.5,0.821874412,0.415420157,0.025403391,1.850711743,0.206215761,0.236849262,1.676623799,0,0.006276132,14,15,13,13,14,2,19,37,18,4.4,3.9,0.064176,17.6
Sagadahoc,23,0,Maine,42,0.645450974,0,35634,2676808,330.2,305.7,128.9,119.7,12.1,11.7,37.3,13.8,36,53,23.49639271,40.6,69.85761183,24.7,12.2,12.1,0.5,9.3,18.2,3.302440818,0.1,2.4,0.1,2.5,0.821874412,0.415420157,0.025403391,1.850711743,0.206215761,0.236849262,1.6766238,0,0.013312124,4,3,2,9,2,7,14,25,21,139.1,72.1,0.064176,17.6
Somerset,18,0,Maine,42,0.355787476,0,50592,2676808,330.2,305.7,128.9,119.7,12.1,11.7,37.3,13.8,36,53,23.49639271,40.6,69.85761183,24.7,12.2,12.1,0.5,9.3,18.2,3.302440817,0.1,2.4,0.1,2.5,0.821874412,0.415420157,0.025403391,1.850711743,0.206215761,0.236849262,1.6766238,0.079063884,0.018900123,15,9,16,15,15,11,19,34,18,13.3,7.8,0.064176,17.6
Waldo,49,14,Maine,42,1.234443493,0.352698141,39694,2676808,330.2,305.7,128.9,119.7,12.1,11.7,37.3,13.8,36,53,23.49639271,40.6,69.85761183,24.7,12.2,12.1,0.5,9.3,18.2,3.302440817,0.1,2.4,0.1,2.5,0.821874411,0.415420157,0.025403391,1.850711743,0.206215761,0.236849262,1.6766238,0.100770897,0.014828856,3,10,9,12,10,8,18,31,19,53.1,29.5,0.064176,17.6
Washington,57,5,Maine,42,0.063512226,0,31490,2676808,330.2,305.7,128.9,119.7,12.1,11.7,37.3,13.8,36,53,23.49639271,40.6,69.85761183,24.7,12.2,12.1,0.5,9.3,18.2,3.302440816,0.1,2.4,0.1,2.5,0.821874412,0.415420157,0.025403391,1.850711743,0.206215761,0.236849262,1.6766238,0,0.011764011,16,14,15,16,16,1,18,33,19,12.8,9,0.064176,17.6
York,269,8,Maine,42,1.304375233,0.038791829,206229,2676808,330.2,305.7,128.9,119.7,12.1,11.7,37.3,13.8,36,53,23.49639271,40.6,69.85761183,24.7,12.2,12.1,0.5,9.3,18.2,3.302440818,0.1,2.4,0.1,2.5,0.821874411,0.415420157,0.025403391,1.850711743,0.206215761,0.236849262,1.6766238,0.0678857,0.077042881,8,4,6,4,3,15,14,30,21,199,106.8,0.064176,17.6
Allegany,150,13,Maryland,45,2.113420218,0.183163086,70975,12085436,386,306.1,116.2,97.6,9.6,7.5,41,26.8,34.1,32.6,22.8,2.9,27.1,48.3,14.9,23.2,1.5,2.6,21.9,3.859686981,0.452686621,1.9,0,1.9,0.553227869,0.38078891,0.008274422,1.811105533,0.209839347,0.163006118,2.272487314,0.211342022,0.005872771,20,21,20,13,19,3,16,37,16,177,78.5,0.20056,28.7
Anne Arundel,2670,135,Maryland,45,4.635167205,0.234362387,576031,12085436,386,306.1,116.2,97.6,9.6,7.5,41,26.8,34.1,32.6,22.8,2.9,27.1,48.3,14.9,23.2,1.5,2.6,21.9,3.859686982,0.452686621,1.9,0,1.9,0.553227869,0.38078891,0.008274422,1.811105533,0.209839347,0.163006117,2.272487314,0.092008937,0.047663237,7,10,10,11,7,15,14,29,19,1295.9,512.3,0.20056,28.7
Baltimore,4306,223,Maryland,45,5.197777485,0.269183553,828431,12085436,386,306.1,116.2,97.6,9.6,7.5,41,26.8,34.1,32.6,22.8,2.9,27.1,48.3,14.9,23.2,1.5,2.6,21.9,3.859686982,0.452686621,1.9,0,1.9,0.553227869,0.38078891,0.008274422,1.811105532,0.209839347,0.163006117,2.272487314,0.14847344,0.068547879,15,12,8,8,12,24,13,31,17,1345.5,561,0.20056,28.7
Baltimore city,3514,192,Maryland,45,5.832413547,0.318674844,602495,12085436,386,306.1,116.2,97.6,9.6,7.5,41,26.8,34.1,32.6,22.8,2.9,27.1,48.3,14.9,23.2,1.5,2.6,21.9,3.859686982,0.452686621,1.9,0,1.9,0.553227869,0.38078891,0.008274422,1.811105533,0.209839347,0.163006117,2.272487315,0.843160524,0.04985298,24,24,23,21,24,4,20,35,19,7671.5,3665.3,0.20056,28.7
Calvert,226,13,Maryland,45,2.456441638,0.14129974,92003,12085436,386,306.1,116.2,97.6,9.6,7.5,41,26.8,34.1,32.6,22.8,2.9,27.1,48.3,14.9,23.2,1.5,2.6,21.9,3.859686982,0.452686621,1.9,0,1.9,0.553227869,0.38078891,0.008274422,1.811105532,0.209839347,0.163006117,2.272487315,0.043476843,0.007612717,12,4,11,7,5,7,14,32,18,416.3,158.5,0.20056,28.7
Caroline,183,0,Maryland,45,5.494835455,0,33304,12085436,386,306.1,116.2,97.6,9.6,7.5,41,26.8,34.1,32.6,22.8,2.9,27.1,48.3,14.9,23.2,1.5,2.6,21.9,3.859686981,0.452686621,1.9,0,1.9,0.553227869,0.38078891,0.008274422,1.811105532,0.209839347,0.163006117,2.272487314,0,0.002755714,18,18,21,22,18,21,19,40,16,103.5,42.2,0.20056,28.7
Carroll,6,0,Maryland,45,3.675139079,0.36810763,168429,12085436,386,306.1,116.2,97.6,9.6,7.5,41,26.8,34.1,32.6,22.8,2.9,27.1,48.3,14.9,23.2,1.5,2.6,21.9,3.859686982,0.452686621,1.9,0,1.9,0.553227869,0.38078891,0.008274422,1.811105532,0.209839347,0.163006117,2.272487315,0.059372198,0.013936527,5,2,4,5,2,20,13,33,17,373.4,139.4,0.20056,28.7
Cecil,291,17,Maryland,45,2.830023535,0.165327835,102826,12085436,386,306.1,116.2,97.6,9.6,7.5,41,26.8,34.1,32.6,22.8,2.9,27.1,48.3,14.9,23.2,1.5,2.6,21.9,3.859686982,0.452686621,1.9,0,1.9,0.553227869,0.38078891,0.008274422,1.811105533,0.209839347,0.163006117,2.272487314,0.048625834,0.008508257,21,13,16,17,17,22,17,33,18,292,118.7,0.20056,28.7
Charles,798,59,Maryland,45,4.941084686,0.365318291,161503,12085436,386,306.1,116.2,97.6,9.6,7.5,41,26.8,34.1,32.6,22.8,2.9,27.1,48.3,14.9,23.2,1.5,2.6,21.9,3.859686982,0.452686621,1.9,0,1.9,0.553227869,0.38078891,0.008274422,1.811105532,0.209839347,0.163006117,2.272487315,0.061918354,0.01336344,14,15,14,19,10,12,14,36,16,320.2,120.1,0.20056,28.7
Dorchester,104,2,Maryland,45,3.250203138,0.062503906,31998,12085436,386,306.1,116.2,97.6,9.6,7.5,41,26.8,34.1,32.6,22.8,2.9,27.1,48.3,14.9,23.2,1.5,2.6,21.9,3.85968698,0.452686621,1.9,0,1.9,0.553227869,0.38078891,0.008274422,1.811105532,0.209839347,0.163006117,2.272487315,0,0.00264765,22,23,22,16,22,8,18,39,15,60.3,30.6,0.20056,28.7
Frederick,1331,84,Maryland,45,5.206377519,0.328576793,255648,12085436,386,306.1,116.2,97.6,9.6,7.5,41,26.8,34.1,32.6,22.8,2.9,27.1,48.3,14.9,23.2,1.5,2.6,21.9,3.859686982,0.452686621,1.9,0,1.9,0.553227869,0.38078891,0.008274422,1.811105532,0.209839347,0.163006117,2.272487315,0.070409313,0.021153395,3,9,3,12,4,19,12,29,18,353.5,136.5,0.20056,28.7
Garrett,6,0,Maryland,45,0.20574015,0,29163,12085436,386,306.1,116.2,97.6,9.6,7.5,41,26.8,34.1,32.6,22.8,2.9,27.1,48.3,14.9,23.2,1.5,2.6,21.9,3.859686984,0.452686621,1.9,0,1.9,0.553227869,0.38078891,0.008274422,1.811105532,0.209839347,0.163006117,2.272487314,0.06858005,0.00241307,10,16,15,18,14,1,15,37,16,46.5,29.1,0.20056,28.7
Harford,667,32,Maryland,45,2.626439226,0.12600608,253956,12085436,386,306.1,116.2,97.6,9.6,7.5,41,26.8,34.1,32.6,22.8,2.9,27.1,48.3,14.9,23.2,1.5,2.6,21.9,3.859686982,0.452686621,1.9,0,1.9,0.553227869,0.38078891,0.008274422,1.811105532,0.209839347,0.163006117,2.272487314,0.07481611,0.021013392,8,8,9,4,9,23,15,32,18,560.1,218.6,0.20056,28.7
Howard,14,0,Maryland,45,3.982103739,0.123763908,323196,12085436,386,306.1,116.2,97.6,9.6,7.5,41,26.8,34.1,32.6,22.8,2.9,27.1,48.3,14.9,23.2,1.5,2.6,21.9,3.859686983,0.452686621,1.9,0,1.9,0.553227869,0.38078891,0.008274422,1.811105532,0.209839347,0.163006117,2.272487315,0.049505563,0.026742602,2,3,2,1,1,18,9,25,16,1144.9,435.8,0.20056,28.7
Kent,1084,45,Maryland,45,6.448950111,0.722282412,19383,12085436,386,306.1,116.2,97.6,9.6,7.5,41,26.8,34.1,32.6,22.8,2.9,27.1,48.3,14.9,23.2,1.5,2.6,21.9,3.859686982,0.452686621,1.9,0,1.9,0.553227869,0.38078891,0.008274422,1.811105532,0.209839347,0.163006117,2.272487315,0.309549605,0.001603831,11,20,7,10,16,14,13,30,16,72.9,38.1,0.20056,28.7
Montgomery,705,19,Maryland,45,7.209042275,0.415175471,1052567,12085436,386,306.1,116.2,97.6,9.6,7.5,41,26.8,34.1,32.6,22.8,2.9,27.1,48.3,14.9,23.2,1.5,2.6,21.9,3.859686981,0.452686621,1.9,0,1.9,0.553227869,0.38078891,0.008274422,1.811105532,0.209839347,0.163006117,2.272487314,0.142508743,0.087093838,1,1,1,2,3,13,8,21,16,1978.2,765.2,0.20056,28.7
Prince George's,10468,398,Maryland,45,11.51205092,0.437695478,909308,12085436,386,306.1,116.2,97.6,9.6,7.5,41,26.8,34.1,32.6,22.8,2.9,27.1,48.3,14.9,23.2,1.5,2.6,21.9,3.859686982,0.452686621,1.9,0,1.9,0.553227869,0.38078891,0.008274422,1.811105532,0.209839347,0.163006117,2.272487315,0.097876627,0.075239983,9,14,12,24,13,9,12,37,14,1788.8,679.9,0.20056,28.7
Queen Anne's,106,9,Maryland,45,2.109410758,0.179100913,50251,12085436,386,306.1,116.2,97.6,9.6,7.5,41,26.8,34.1,32.6,22.8,2.9,27.1,48.3,14.9,23.2,1.5,2.6,21.9,3.859686981,0.452686621,1.9,0,1.9,0.553227869,0.38078891,0.008274422,1.811105532,0.209839347,0.163006117,2.272487314,0,0.00415798,13,6,5,6,6,6,12,29,18,128.5,54.2,0.20056,28.7
Somerset,18,0,Maryland,45,1.986368062,0,25675,12085436,386,306.1,116.2,97.6,9.6,7.5,41,26.8,34.1,32.6,22.8,2.9,27.1,48.3,14.9,23.2,1.5,2.6,21.9,3.859686982,0.452686621,1.9,0,1.9,0.553227869,0.38078891,0.008274422,1.811105532,0.209839347,0.163006117,2.272487315,0,0.002124458,23,22,24,20,23,16,20,44,15,82.8,34.8,0.20056,28.7
St. Mary's,271,9,Maryland,45,2.405382376,0.079883548,112664,12085436,386,306.1,116.2,97.6,9.6,7.5,41,26.8,34.1,32.6,22.8,2.9,27.1,48.3,14.9,23.2,1.5,2.6,21.9,3.859686982,0.452686621,1.9,0,1.9,0.553227869,0.38078891,0.008274422,1.811105532,0.209839347,0.163006117,2.272487314,0.106511397,0.009322295,6,5,18,23,8,2,15,36,19,294.4,115.6,0.20056,28.7
Talbot,27,1,Maryland,45,1.731227007,0.027050422,36968,12085436,386,306.1,116.2,97.6,9.6,7.5,41,26.8,34.1,32.6,22.8,2.9,27.1,48.3,14.9,23.2,1.5,2.6,21.9,3.859686981,0.452686621,1.9,0,1.9,0.553227869,0.38078891,0.008274422,1.811105532,0.209839347,0.163006117,2.272487314,0.432806752,0.003058888,4,7,6,3,11,5,13,28,17,140.7,72.9,0.20056,28.7
Washington,57,5,Maryland,45,2.020857904,0.059631873,150926,12085436,386,306.1,116.2,97.6,9.6,7.5,41,26.8,34.1,32.6,22.8,2.9,27.1,48.3,14.9,23.2,1.5,2.6,21.9,3.859686982,0.452686621,1.9,0,1.9,0.553227869,0.38078891,0.008274422,1.811105533,0.209839347,0.163006117,2.272487314,0.318036654,0.012488254,16,17,17,14,15,11,15,36,16,322.1,132.8,0.20056,28.7
Wicomico,754,17,Maryland,45,7.30655555,0.164736664,103195,12085436,386,306.1,116.2,97.6,9.6,7.5,41,26.8,34.1,32.6,22.8,2.9,27.1,48.3,14.9,23.2,1.5,2.6,21.9,3.859686982,0.452686621,1.9,0,1.9,0.553227869,0.38078891,0.008274422,1.811105532,0.209839347,0.163006117,2.272487314,0.232569407,0.00853879,19,19,19,15,20,10,15,36,17,263.7,110,0.20056,28.7
Worcester,128,5,Maryland,45,2.469945777,0.096482257,51823,12085436,386,306.1,116.2,97.6,9.6,7.5,41,26.8,34.1,32.6,22.8,2.9,27.1,48.3,14.9,23.2,1.5,2.6,21.9,3.859686983,0.452686621,1.9,0,1.9,0.553227869,0.38078891,0.008274422,1.811105532,0.209839347,0.163006117,2.272487315,0.115778708,0.004288054,17,11,13,9,21,17,14,35,15,109.9,119.1,0.20056,28.7
Barnstable,1111,79,Massachusetts,20,5.205868434,0.370174263,213413,13804298,449.5,353.7,134.3,114.6,9.6,7.3,42.4,24,30.8,46,9.8,12.6,35.1,83,23.4,20.7,1.8,8.5,29.5,4.494976854,0,1.8,0.4,2.3,0.907543433,0.313815306,0.010866181,2.286824002,0.275711231,0.251370986,3.002253356,0.159315506,0.015459895,12,4,2,3,9,5,12,21,20,548.3,407.1,0.196319,59.5
Berkshire,486,37,Massachusetts,20,3.846519138,0.292841992,126348,13804298,449.5,353.7,134.3,114.6,9.6,7.3,42.4,24,30.8,46,9.8,12.6,35.1,83,23.4,20.7,1.8,8.5,29.5,4.494976854,0,1.8,0.4,2.3,0.907543433,0.313815306,0.010866181,2.286824002,0.275711231,0.251370986,3.002253356,0.189951562,0.009152802,14,10,8,5,11,7,14,26,19,141.6,73.9,0.196319,59.5
Bristol,5249,288,Massachusetts,20,9.306374574,0.51061838,564022,13804298,449.5,353.7,134.3,114.6,9.6,7.3,42.4,24,30.8,46,9.8,12.6,35.1,83,23.4,20.7,1.8,8.5,29.5,4.494976854,0,1.8,0.4,2.3,0.907543433,0.313815306,0.010866181,2.286824002,0.275711231,0.251370986,3.002253355,0.170206127,0.040858434,11,12,13,12,12,6,15,29,21,991.3,416.8,0.196319,59.5
Dukes,23,1,Massachusetts,20,1.32549562,0.057630244,17352,13804298,449.5,353.7,134.3,114.6,9.6,7.3,42.4,24,30.8,46,9.8,12.6,35.1,83,23.4,20.7,1.8,8.5,29.5,4.494976855,0,1.8,0.4,2.3,0.907543433,0.313815306,0.010866181,2.286824002,0.275711231,0.251370986,3.002253356,0,0.001257,4,1,4,13,10,2,12,27,21,160.2,166.5,0.196319,59.5
Essex,11703,704,Massachusetts,20,14.80197005,0.890420142,790638,13804298,449.5,353.7,134.3,114.6,9.6,7.3,42.4,24,30.8,46,9.8,12.6,35.1,83,23.4,20.7,1.8,8.5,29.5,4.494976854,0,1.8,0.4,2.3,0.907543433,0.313815306,0.010866181,2.286824002,0.275711231,0.251370986,3.002253356,0.123950531,0.057274771,7,9,3,11,8,13,12,25,21,1508.8,622.8,0.196319,59.5
Franklin,270,3,Massachusetts,20,4.255738906,0.605949579,70963,13804298,449.5,353.7,134.3,114.6,9.6,7.3,42.4,24,30.8,46,9.8,12.6,35.1,83,23.4,20.7,1.8,8.5,29.5,4.494976854,0,1.8,0.4,2.3,0.907543433,0.313815306,0.010866181,2.286824003,0.275711231,0.251370986,3.002253356,0.084551104,0.005140645,8,5,9,6,7,9,14,29,20,102.1,48.3,0.196319,59.5
Hampden,4889,475,Massachusetts,20,10.39314975,1.009766032,470406,13804298,449.5,353.7,134.3,114.6,9.6,7.3,42.4,24,30.8,46,9.8,12.6,35.1,83,23.4,20.7,1.8,8.5,29.5,4.494976854,0,1.8,0.4,2.3,0.907543433,0.313815306,0.010866181,2.286824003,0.275711231,0.251370986,3.002253356,0.252972964,0.034076778,13,14,14,10,14,14,15,31,20,751,311.4,0.196319,59.5
Hampshire,708,64,Massachusetts,20,4.387840476,0.396640947,161355,13804298,449.5,353.7,134.3,114.6,9.6,7.3,42.4,24,30.8,46,9.8,12.6,35.1,83,23.4,20.7,1.8,8.5,29.5,4.494976854,0,1.8,0.4,2.3,0.907543433,0.313815306,0.010866181,2.286824002,0.275711231,0.251370986,3.002253356,0.068172663,0.011688751,5,7,6,1,3,4,13,20,24,299.8,118.7,0.196319,59.5
Middlesex,837,116,Massachusetts,20,11.27196519,0.79394865,1614714,13804298,449.5,353.7,134.3,114.6,9.6,7.3,42.4,24,30.8,46,9.8,12.6,35.1,83,23.4,20.7,1.8,8.5,29.5,4.494976854,0,1.8,0.4,2.3,0.907543433,0.313815306,0.010866181,2.286824002,0.275711231,0.251370986,3.002253356,0.133769819,0.11697183,2,3,1,4,2,11,10,22,23,1837.9,748.3,0.196319,59.5
Nantucket,12,0,Massachusetts,20,1.059415556,0,11327,13804298,449.5,353.7,134.3,114.6,9.6,7.3,42.4,24,30.8,46,9.8,12.6,35.1,83,23.4,20.7,1.8,8.5,29.5,4.494976854,0,1.8,0.4,2.3,0.907543433,0.313815306,0.010866181,2.286824002,0.275711231,0.251370986,3.002253357,0,0.000820542,1,2,7,14,4,1,14,25,22,226.2,258.4,0.196319,59.5
Norfolk,7129,676,Massachusetts,20,10.10649458,0.958337823,705388,13804298,449.5,353.7,134.3,114.6,9.6,7.3,42.4,24,30.8,46,9.8,12.6,35.1,83,23.4,20.7,1.8,8.5,29.5,4.494976854,0,1.8,0.4,2.3,0.907543433,0.313815306,0.010866181,2.286824002,0.275711231,0.251370986,3.002253356,0.083641911,0.051099158,3,6,5,2,1,10,12,23,21,1693.6,682.5,0.196319,59.5
Plymouth,71,0,Massachusetts,20,12.72262667,0.818324288,518132,13804298,449.5,353.7,134.3,114.6,9.6,7.3,42.4,24,30.8,46,9.8,12.6,35.1,83,23.4,20.7,1.8,8.5,29.5,4.494976853,0,1.8,0.4,2.3,0.907543433,0.313815306,0.010866181,2.286824002,0.275711231,0.251370986,3.002253356,0.090710475,0.037534107,9,8,12,8,5,8,15,28,22,750.9,303.7,0.196319,59.5
Suffolk,15587,749,Massachusetts,20,19.30871649,0.927839138,807252,13804298,449.5,353.7,134.3,114.6,9.6,7.3,42.4,24,30.8,46,9.8,12.6,35.1,83,23.4,20.7,1.8,8.5,29.5,4.494976855,0,1.8,0.4,2.3,0.907543433,0.313815306,0.010866181,2.286824002,0.275711231,0.251370986,3.002253356,0.553730434,0.058478309,6,13,10,9,13,3,14,21,24,12415.6,5425.6,0.196319,59.5
Worcester,128,5,Massachusetts,20,9.918889219,0.588561683,830839,13804298,449.5,353.7,134.3,114.6,9.6,7.3,42.4,24,30.8,46,9.8,12.6,35.1,83,23.4,20.7,1.8,8.5,29.5,4.494976855,0,1.8,0.4,2.3,0.907543433,0.313815306,0.010866181,2.286824002,0.275711231,0.251370986,3.002253356,0.203408843,0.060186979,10,11,11,7,6,12,14,27,23,528.6,216.3,0.196319,59.5
Alcona,4,1,Michigan,51,0.386025864,0.096506466,10362,19991830,287,249.7,97.8,87.6,7.9,6.7,35,29.2,31.6,52.9,49.9,56.1,71.5,69,23.6,26.8,1.4,49.5,43.4,2.870372547,0.1,2.2,0.3,2.5,0.442180631,0.378454599,0.014405885,1.852356688,0.209985779,0.334036454,2.031129716,0,0.000518312,72,49,19,61,66,21,16,35,16,16.2,16.4,0.156981,30.9
Allegan,165,2,Michigan,51,1.40632591,0.017046375,117327,19991830,287,249.7,97.8,87.6,7.9,6.7,35,29.2,31.6,52.9,49.9,56.1,71.5,69,23.6,26.8,1.4,49.5,43.4,2.870372547,0.1,2.2,0.3,2.5,0.442180631,0.378454599,0.014405885,1.852356688,0.209985779,0.334036454,2.031129716,0,0.005868747,18,19,16,32,13,79,16,34,19,135,59.9,0.156981,30.9
Alpena,88,8,Michigan,51,3.102961918,0.282087447,28360,19991830,287,249.7,97.8,87.6,7.9,6.7,35,29.2,31.6,52.9,49.9,56.1,71.5,69,23.6,26.8,1.4,49.5,43.4,2.870372547,0.1,2.2,0.3,2.5,0.442180631,0.378454599,0.014405885,1.852356688,0.209985779,0.334036454,2.031129717,0.317348378,0.001418579,33,33,31,19,55,25,17,34,19,51.8,28.1,0.156981,30.9
Antrim,10,0,Michigan,51,0.427990584,0,23365,19991830,287,249.7,97.8,87.6,7.9,6.7,35,29.2,31.6,52.9,49.9,56.1,71.5,69,23.6,26.8,1.4,49.5,43.4,2.870372547,0.1,2.2,0.3,2.5,0.442180631,0.378454599,0.014405885,1.852356688,0.209985779,0.334036454,2.031129717,0,0.001168727,17,16,17,67,33,16,16,32,18,49.6,37.5,0.156981,30.9
Arenac,28,1,Michigan,51,1.861578353,0.066484941,15041,19991830,287,249.7,97.8,87.6,7.9,6.7,35,29.2,31.6,52.9,49.9,56.1,71.5,69,23.6,26.8,1.4,49.5,43.4,2.870372547,0.1,2.2,0.3,2.5,0.442180631,0.378454599,0.014405885,1.852356688,0.209985779,0.334036454,2.031129717,0.332424706,0.000752357,62,62,62,73,71,34,18,36,18,43.8,27,0.156981,30.9
Baraga,1,0,Michigan,51,0.120192308,0,8320,19991830,287,249.7,97.8,87.6,7.9,6.7,35,29.2,31.6,52.9,49.9,56.1,71.5,69,23.6,26.8,1.4,49.5,43.4,2.870372547,0.1,2.2,0.3,2.5,0.442180631,0.378454599,0.014405885,1.852356688,0.209985779,0.334036454,2.031129716,0,0.00041617,80,45,79,22,76,19,19,36,19,9.9,5.9,0.156981,30.9
Barry,54,1,Michigan,51,0.882973331,0.016351358,61157,19991830,287,249.7,97.8,87.6,7.9,6.7,35,29.2,31.6,52.9,49.9,56.1,71.5,69,23.6,26.8,1.4,49.5,43.4,2.870372548,0.1,2.2,0.3,2.5,0.442180631,0.378454599,0.014405885,1.852356689,0.209985779,0.334036454,2.031129717,0,0.0030591,15,12,24,37,10,80,16,37,20,107,48.8,0.156981,30.9
Bay,77,3,Michigan,51,2.05921692,0.09622509,103923,19991830,287,249.7,97.8,87.6,7.9,6.7,35,29.2,31.6,52.9,49.9,56.1,71.5,69,23.6,26.8,1.4,49.5,43.4,2.870372547,0.1,2.2,0.3,2.5,0.442180631,0.378454599,0.014405885,1.852356688,0.209985779,0.334036454,2.031129716,0.307920287,0.005198273,48,30,52,59,47,46,18,36,20,243.7,109,0.156981,30.9
Benzie,4,0,Michigan,51,0.225314031,0,17753,19991830,287,249.7,97.8,87.6,7.9,6.7,35,29.2,31.6,52.9,49.9,56.1,71.5,69,23.6,26.8,1.4,49.5,43.4,2.870372547,0.1,2.2,0.3,2.5,0.442180631,0.378454599,0.014405885,1.852356688,0.209985779,0.334036454,2.031129717,0,0.000888013,26,8,30,38,27,26,16,37,19,54.8,38.2,0.156981,30.9
Berrien,20,0,Michigan,51,2.757215796,0.168676731,154141,19991830,287,249.7,97.8,87.6,7.9,6.7,35,29.2,31.6,52.9,49.9,56.1,71.5,69,23.6,26.8,1.4,49.5,43.4,2.870372547,0.1,2.2,0.3,2.5,0.442180631,0.378454599,0.014405885,1.852356688,0.209985779,0.334036454,2.031129716,0.129751332,0.0077102,53,68,29,29,46,73,17,33,16,276.2,135.5,0.156981,30.9
Branch,84,2,Michigan,51,1.925633854,0.045848425,43622,19991830,287,249.7,97.8,87.6,7.9,6.7,35,29.2,31.6,52.9,49.9,56.1,71.5,69,23.6,26.8,1.4,49.5,43.4,2.870372548,0.1,2.2,0.3,2.5,0.442180631,0.378454599,0.014405885,1.852356688,0.209985779,0.334036454,2.031129716,0.229242126,0.002181991,64,29,65,71,40,71,18,38,19,89.4,41.2,0.156981,30.9
